town,Condo,Four Family,Single Family,Three Family,Two Family
Oxford,219273.0,0.0,243000.0,0.0,263295.0
Plainfield,92627.0,113925.0,119525.0,115583.0,96744.0
Plainville,96858.0,243894.0,140476.0,178715.0,139483.0
Plymouth,80570.0,176343.0,134465.0,126282.0,124050.0
Pomfret,83550.0,0.0,194475.0,120500.0,187700.0
Portland,148558.0,200470.0,178092.0,168274.0,143598.0
Preston,135300.0,0.0,163957.0,0.0,0.0
Prospect,162996.0,0.0,177397.0,0.0,158200.0
Putnam,107947.0,131114.0,124293.0,118392.0,97104.0
Redding,316938.0,341700.0,352817.0,356400.0,286674.0
Ridgefield,201034.0,341460.0,344358.0,233860.0,364820.0
Rocky Hill,117816.0,0.0,199754.0,115500.0,139010.0
Roxbury,0.0,0.0,343464.0,0.0,0.0
Salem,34159.0,0.0,205274.0,0.0,208400.0
Salisbury,262803.0,191300.0,269678.0,360600.0,325742.0
Scotland,0.0,0.0,152521.0,0.0,210362.0
Seymour,102256.0,154693.0,179625.0,164312.0,156895.0
Sharon,171407.0,150800.0,245594.0,0.0,150575.0
Shelton,191333.0,212590.0,225666.0,161536.0,159377.0
Sherman,0.0,0.0,280218.0,0.0,0.0
Simsbury,140503.0,189055.0,217784.0,182817.0,139237.0
Somers,126867.0,162300.0,197871.0,214350.0,179717.0
South Windsor,104258.0,202950.0,190553.0,0.0,157161.0
Southbury,106421.0,269230.0,254194.0,246745.0,264347.0
Southington,125966.0,205948.0,190354.0,170782.0,158530.0
Sprague,92871.0,111304.0,128942.0,108087.0,108080.0
Stafford,84743.0,119437.0,143556.0,112175.0,111859.0
Stamford,206754.0,347424.0,351284.0,323157.0,292140.0
Sterling,106244.0,143150.0,134134.0,105265.0,101220.0
Stonington,179659.0,215550.0,208449.0,182031.0,160918.0
Stratford,135305.0,225522.0,177703.0,189089.0,166731.0
Suffield,134863.0,289030.0,210963.0,198321.0,200782.0
Thomaston,93910.0,147892.0,151575.0,160155.0,127104.0
Thompson,81276.0,155077.0,135759.0,116956.0,124549.0
Tolland,108052.0,156600.0,192315.0,156400.0,223650.0
Torrington,68387.0,138713.0,113974.0,97259.0,87287.0
Trumbull,226822.0,0.0,274154.0,429300.0,289364.0
Union,0.0,0.0,170246.0,0.0,0.0
Vernon,96071.0,142761.0,135605.0,123861.0,114423.0
Voluntown,0.0,0.0,158043.0,0.0,120500.0
Wallingford,131995.0,213470.0,185830.0,180841.0,180500.0
Warren,0.0,0.0,241614.0,0.0,0.0
Washington,204812.0,0.0,283733.0,318392.0,272550.0
Waterbury,47679.0,97017.0,89498.0,71908.0,78254.0
Waterford,104888.0,285552.0,176159.0,239572.0,173959.0
Watertown,121471.0,192300.0,161944.0,143417.0,136725.0
West Hartford,150511.0,223776.0,215488.0,238771.0,205259.0
West Haven,93909.0,190148.0,141740.0,169540.0,154188.0
Westbrook,214613.0,0.0,206481.0,304180.0,249104.0
Weston,376829.0,0.0,396390.0,0.0,0.0
Westport,334008.0,0.0,419724.0,300867.0,376358.0
Wethersfield,102086.0,168331.0,174949.0,203349.0,177272.0
Willington,84223.0,185490.0,157933.0,111805.0,151153.0
Wilton,252922.0,0.0,409207.0,0.0,290395.0
Winchester,84819.0,133880.0,137563.0,110645.0,102131.0
Windham,85725.0,142964.0,96000.0,91857.0,95056.0
Windsor,111074.0,207760.0,143612.0,157338.0,142759.0
Windsor Locks,91892.0,165370.0,120145.0,130130.0,125795.0
Wolcott,121389.0,157970.0,173054.0,264430.0,173992.0
Woodbridge,132202.0,160020.0,280815.0,0.0,177379.0
Woodbury,106388.0,248940.0,260368.0,0.0,231718.0
Woodstock,90259.0,0.0,181872.0,351400.0,184089.0
