town,Condo,Four Family,Single Family,Three Family,Two Family
Oxford,405344.0,0.0,372763.0,0.0,431146.0
Plainfield,182843.0,217646.0,204741.0,177016.0,176512.0
Plainville,172183.0,385020.0,215714.0,289975.0,204370.0
Plymouth,121356.0,300300.0,199820.0,176908.0,175471.0
Pomfret,149500.0,0.0,300978.0,200000.0,270300.0
Portland,215935.0,332286.0,266334.0,261909.0,221878.0
Preston,180500.0,0.0,263478.0,0.0,0.0
Prospect,323033.0,0.0,272950.0,0.0,324000.0
Putnam,186765.0,226454.0,208701.0,204441.0,173484.0
Redding,439949.0,404000.0,509625.0,410000.0,473350.0
Ridgefield,314542.0,680000.0,509389.0,247400.0,470000.0
Rocky Hill,197897.0,0.0,312670.0,435000.0,218149.0
Roxbury,0.0,0.0,471762.0,0.0,0.0
Salem,57732.0,0.0,296832.0,0.0,340500.0
Salisbury,382401.0,262500.0,384814.0,410000.0,452950.0
Scotland,0.0,0.0,242086.0,0.0,281400.0
Seymour,161595.0,257490.0,277255.0,235073.0,230135.0
Sharon,276597.0,300000.0,369599.0,0.0,285125.0
Shelton,300529.0,265000.0,346465.0,289664.0,267567.0
Sherman,0.0,0.0,419863.0,0.0,0.0
Simsbury,239223.0,329750.0,348783.0,276167.0,251467.0
Somers,353931.0,210000.0,309377.0,269400.0,265636.0
South Windsor,167833.0,339000.0,309925.0,0.0,237350.0
Southbury,186241.0,377000.0,392148.0,303875.0,392683.0
Southington,198167.0,374250.0,295289.0,261167.0,237528.0
Sprague,139811.0,216500.0,228335.0,224000.0,183041.0
Stafford,140220.0,194900.0,221851.0,203806.0,168834.0
Stamford,327246.0,547330.0,508579.0,545863.0,489148.0
Sterling,196419.0,260000.0,237998.0,272450.0,217335.0
Stonington,291587.0,480000.0,331904.0,329307.0,289516.0
Stratford,215423.0,423450.0,282327.0,320286.0,292784.0
Suffield,222083.0,467500.0,345911.0,342697.0,286732.0
Thomaston,142572.0,211300.0,220094.0,241000.0,205553.0
Thompson,130501.0,252577.0,227033.0,201611.0,211370.0
Tolland,200773.0,290000.0,299948.0,250500.0,321603.0
Torrington,113279.0,239206.0,183166.0,172717.0,149554.0
Trumbull,333924.0,0.0,406712.0,575000.0,408882.0
Union,0.0,0.0,274281.0,0.0,0.0
Vernon,163320.0,223268.0,206203.0,194277.0,174915.0
Voluntown,0.0,0.0,247000.0,0.0,340000.0
Wallingford,207665.0,346686.0,277811.0,282952.0,263479.0
Warren,0.0,0.0,393027.0,0.0,0.0
Washington,333010.0,0.0,415731.0,389475.0,396125.0
Waterbury,90566.0,209492.0,160424.0,170732.0,161095.0
Waterford,175163.0,387141.0,279454.0,308568.0,270632.0
Watertown,194789.0,338014.0,263806.0,245097.0,231921.0
West Hartford,243520.0,327600.0,334378.0,372772.0,323279.0
West Haven,143775.0,328892.0,215100.0,275155.0,241594.0
Westbrook,322283.0,0.0,308244.0,531667.0,362793.0
Weston,541786.0,0.0,557901.0,0.0,0.0
Westport,481064.0,0.0,562354.0,560000.0,549375.0
Wethersfield,161484.0,298144.0,270526.0,315429.0,277821.0
Willington,144012.0,265000.0,250840.0,152500.0,230040.0
Wilton,395338.0,0.0,563138.0,0.0,547500.0
Winchester,137643.0,245396.0,225138.0,186207.0,170723.0
Windham,142647.0,249506.0,156991.0,175549.0,165053.0
Windsor,197055.0,308333.0,238737.0,253377.0,225747.0
Windsor Locks,175082.0,353250.0,203639.0,187000.0,208444.0
Wolcott,226109.0,270000.0,260096.0,405900.0,238042.0
Woodbridge,269990.0,275000.0,416215.0,0.0,284409.0
Woodbury,168698.0,450000.0,388734.0,0.0,357438.0
Woodstock,143376.0,0.0,284360.0,385000.0,242556.0
